orig_path,species,family
/networks/web_of_life/binary/M_PL_055.csv,NA,NA
/networks/web_of_life/binary/M_PL_055.csv,NA,NA
/networks/web_of_life/binary/M_PL_055.csv,NA,NA
/networks/web_of_life/binary/M_PL_055.csv,NA,NA
/networks/web_of_life/binary/M_PL_054.csv,NA,NA
/networks/web_of_life/binary/M_PL_054.csv,NA,NA
/networks/web_of_life/binary/M_PL_054.csv,NA,NA
/networks/web_of_life/binary/M_PL_054.csv,NA,NA
/networks/web_of_life/binary/M_PL_054.csv,NA,NA
/networks/web_of_life/binary/M_PL_054.csv,NA,NA
/networks/web_of_life/binary/M_PL_054.csv,NA,NA
/networks/web_of_life/binary/M_PL_025.csv,NA,NA
/networks/web_of_life/binary/M_PL_019.csv,NA,NA
/networks/web_of_life/binary/M_PL_019.csv,NA,NA
/networks/web_of_life/binary/M_PL_019.csv,NA,NA
/networks/web_of_life/binary/M_PL_019.csv,NA,NA
/networks/web_of_life/binary/M_PL_069_03.csv,nidularium inocentii,NA
/networks/web_of_life/binary/M_PL_006.csv,NA,NA
/networks/web_of_life/binary/M_PL_007.csv,NA,NA
/networks/web_of_life/binary/M_PL_069_02.csv,NA,NA
/networks/web_of_life/binary/M_PL_069_01.csv,NA,NA
/networks/web_of_life/binary/M_PL_017.csv,NA,NA
/networks/web_of_life/binary/M_PL_017.csv,NA,NA
/networks/web_of_life/binary/M_PL_058.csv,NA,NA
/networks/web_of_life/binary/M_PL_058.csv,NA,NA
/networks/web_of_life/binary/M_PL_058.csv,NA,NA
/networks/web_of_life/binary/M_PL_058.csv,NA,NA
/networks/web_of_life/binary/M_PL_058.csv,NA,NA
/networks/web_of_life/binary/M_PL_058.csv,NA,NA
/networks/web_of_life/binary/M_PL_066.csv,NA,NA
/networks/web_of_life/binary/M_PL_066.csv,NA,NA
/networks/web_of_life/binary/M_PL_073.csv,NA,NA
/networks/mangal/weighted/948.csv,NA,NA
/networks/mangal/weighted/5129.csv,NA,NA
/networks/mangal/weighted/5129.csv,NA,NA
/networks/mangal/weighted/5129.csv,NA,NA
/networks/mangal/weighted/5129.csv,NA,NA
/networks/mangal/weighted/5129.csv,NA,NA
/networks/mangal/weighted/5129.csv,NA,NA
/networks/mangal/weighted/5128.csv,NA,NA
/networks/mangal/weighted/5128.csv,NA,NA
/networks/mangal/weighted/5138.csv,NA,NA
/networks/mangal/weighted/5138.csv,NA,NA
/networks/mangal/weighted/5138.csv,NA,NA
/networks/mangal/weighted/5138.csv,NA,NA
/networks/mangal/weighted/5138.csv,NA,NA
/networks/mangal/weighted/5139.csv,NA,NA
/networks/mangal/weighted/5139.csv,NA,NA
/networks/mangal/weighted/5139.csv,NA,NA
/networks/mangal/weighted/1598.csv,NA,NA
