,Reference_x,year,names,Reference_y,ID,source
66,43 Denmark 82 28 4 Montero (2005),2005,Montero,"Montero AC (2005).The Ecology of Three Pollination Networks. MSc thesis (Univ of Aarhus, Aarhus, Denmark).",M_PL_037,weighted
67,43 Denmark 82 28 4 Montero (2005),2005,Montero,"Montero AC (2005).The Ecology of Three Pollination Networks. MSc thesis (Univ of Aarhus, Aarhus, Denmark).",M_PL_038,weighted
68,43 Denmark 82 28 4 Montero (2005),2005,Montero,"Montero AC (2005).The Ecology of Three Pollination Networks. MSc thesis (Univ of Aarhus, Aarhus, Denmark).",M_PL_043,weighted
69,44 Japan 609 110 2 Kato (2000),2000,Kato,"Kato M (2000).Anthophilous insect community and plant-pollinator interactions on Amami Islands in the Ryukyu Archipelago, Japan. Contr Biol Lab Kyoto Univ 29:157-252.",M_PL_044,binary
70,45 Greenland 26 17 0 Lundgren & Olesen (2005),2005,Lundgren,"Lundgren R, Olesen JM (2005). The Dense and Highly Connected World of Greenland's Plants and Their Pollinators. Arc Antarc Alp Res 37:514-520.",M_PL_045,binary
71,46 Denmark 44 16 0 Bundgaard (2003),2003,Bundgaard,"Bundgaard, M. (2003). Tidslig og rumlig variation i et plante-bestøvernetværk. Msc thesis. University of Aarhus. Aarhus, Denmark.",M_PL_046,weighted
72,47 Denmark 186 19 1 Dupont & Olesen (2009),2009,Dupont,"Dupont & Olesen(2009). J. Animal Ecology, 78:346-353.",M_PL_047,weighted
73,47 Denmark 186 19 1 Dupont & Olesen (2009),2009,Dupont,"Dupont & Olesen(2009). J. Animal Ecology, 78:346-353.",M_PL_048,weighted
74,48 Denmark 236 30 2 Dupont & Olesen (2009),2009,Dupont,"Dupont & Olesen(2009). J. Animal Ecology, 78:346-353.",M_PL_047,weighted
75,48 Denmark 236 30 2 Dupont & Olesen (2009),2009,Dupont,"Dupont & Olesen(2009). J. Animal Ecology, 78:346-353.",M_PL_048,weighted
76,49 Denmark 225 37 2 Bek (2006),2006,Bek,"Bek S (2006). A pollination network from a Danish forest meadow. MSc thesis (Univ of Aarhus, Aarhus, Denmark).",M_PL_049,weighted
77,50 Canary Islands (Spain) 35 14 0 Stald (2003),2003,Islands,,,
78,51 Argentina 90 14 0 V´azquez (2002),2002,not found,,,
79,52 Greenland 39 15 0 Witt (1998),1998,Witt,"Witt P (1998) BSc thesis. Univ of Aarhus, Aarhus, Denmark.",M_PL_052,weighted
80,53 Japan 294 99 0 Yamazaki & Kato (2003),2003,Yamazaki,"Yamazaki, K. & Kato, M. 2003. Flowering phenology and anthophilous insect community in a grassland ecosystem at Mt. Yufu, Western Japan. Contributions from the Biological Laboratory, Kyoto University 29: 255-318.",M_PL_053,weighted
81,54 Japan 318 113 2 Kakutani et al. (1990),1990,Kakutani,"Kakutani, T., T. Inoue, M. Kato and H. Ichihashi (1990) Insect-flower relationship in the campus of Kyoto University, Kyoto: An overview of the flowering phenology and the seasonal pattern of insect visits. Contribution from the Biological Laboratory, Kyoto University, 27: 465-521.",M_PL_054,binary
82,55 Japan 195 64 1 Kato & Miura (1996),1996,Kato,"Kato & Miura (1996). Flowering phenology and anthophilous insect community at a threatened natural lowland marsh at Nakaikemi in Tsuruga, Japan. Kyoto University, Vol. 29: 1-48",M_PL_055,binary
83,56 Japan 365 91 0 Kato (1993),1993,Kato,"Kato et al. 1993. Flowering Phenology and Anthophilous Insect Community in the Cool-Temperate Subalpine Forests and Meadows at Mt. Kushigata in the Central Part of Japan. Contributions from the Biological Laboratory, Kyoto University 28: 119-172",M_PL_056,binary
84,57 Japan 883 114 1 Inoue et al. (1990),1990,Inoue,"Inoue et al 1990. Insect-flower Relationship in the Temperate Deciduous Forest of Kibune, Kyoto : An Overview of the Flowering Phenology and the Seasonal Pattern of Insect Visits.",M_PL_057,binary
85,58 Spain 81 32 1 Bartomeus et al. (2008),2008,Bartomeus,"Bartomeus, I., Vilà, M. & Santamaria, L., 2008. Contrasting effects of invasive plants in plant-pollinator networks. Oecologia 155: 761-770.",M_PL_058,binary
86,59 Brazil 13 13 0 Bezerra et al. (2009),2009,Bezerra,"Bezerra ELS, Machado ICS, Mello MAR. 2009. Pollination networks of oil-flowers: a tiny world within the smallest of all worlds. Journal of Animal Ecology 78:1096–1101.",M_PL_059,binary
